OBJECTID,name,alternate_name,category,subcategory,address1,address2,address3,address4,address5,lat,lon,POINT_Z
706,Monksland Health Cente -Civic Centre (TUSLA),,Health Centre,NULL,Daneswell Business Park,Monksland,Athlone,Co. Roscommon,N37 F9V4,-7.9907649276972,53.4209099546398,
707,Monksland Primary Care Centre,Monksland,Health Centre,,Daneswell Business Park,Monksland,Athlone,Co. Roscommon,N37 F670,-7.9907649276972,53.4209099546398,
708,"Mooncoin Health Centre,coin",Mooncoin,Health Centre,,Main Street,Mooncoin,Co. Kilkenny,,X91 P271,-7.25404427693261,52.292031339803,
709,Mosney,Mosney,Health Centre,,Mosney,Co. Meath,,,,-6.2416904214045,53.6614273343081,
710,Mount Alvernia,Mt. Alvernia,Health Centre,,Mount Alvernia Hospital,Mallow,Co. Cork.,,,-8.68462466824737,52.1243503507005,
711,Mountain Lodge,Mountain Lodge,Health Centre,,Mountain Lodge,Cootehill,Co. Cavan,,,-7.10940318411715,53.9802853475691,
712,"Mountbellew Health Centre, ",Mountbellew,Health Centre,,College Road,Mountbellew,Co. Galway,,H53 E309,-8.49649779800423,53.4687025941798,
713,Mountcharles Health Centre,Mountcharles,Health Centre,,Station Road,Mountcharles,Co. Donegal,,F94 DFN8,-8.19859320049232,54.6442090376573,
714,"Mountrath Health Centre, ",Mountrath,Health Centre,,Link Road,Mountrath,Co. Laois,,R32 EA32,-7.47414461628382,52.9998531799474,
715,Moville Primary Care Centre,Glencrow,Health Centre,,Moville Health Centre,Glencrow,Moville,Co. Donegal,F93 NF29,-7.04522276747057,55.1888036647177,
716,Moyderwell,Moyderwell,Health Centre,,Tralee Health Centre,Moyderwell,Tralee,Co. Kerry,,-9.69963497232636,52.2672713859891,
717,Moyne,Moyne,Health Centre,,Moyne,Thurles,Co. Tipperary.,,,-7.71382687057608,52.7347270127592,
718,Moyross Health Centre,Moyross,Health Centre,,Moyross Community Enterprise Centre,Moyross,Limerick,,V94 E5Y8,-8.64665400857333,52.6814502088652,
719,Moyvane Health Centre,Moyvane,Health Centre,,Glen Road,Moyvane,Co. Kerry,,V31 K006,-9.36918605419116,52.501491081781,
720,Muff,Muff,Health Centre,,Muff,Co. Donegal.,,,,-7.27010200758933,55.0671831041311,
721,Muirhevnamore Health Centre,Muirhevnamore,Health Centre,,Muirhevnamor,Dundalk,Co. Louth,,A91 AV96,-6.38023639021995,53.9910065670058,
722,Mulgrave Street - PCC,,Health Centre,NULL,Health Centre,63 Mulgrave Street,Dun Laoghaire,Co. Dublin,A96 YD61,-6.13610488183507,53.291306380255,
